ID Respondent,Course/Strand,Gaming_Frequency,Gaming_Platforms,Weekly_Gaming_Hours,Played_Games,Preferred_Game_Type,Preferred_Genres,Monthly_Gaming_Budget
126,Bachelor of Science in Industrial Engineering,Once a week,Mobile,5-10 hours,Mobile Legends: Bang Bang,Multiplayer,"Action/Adventure,Strategy,Racing,Fighting",None.
127,Bachelor of Science in Industrial Engineering,Daily,"PC,Mobile",5-10 hours,"Valorant,League of Legends,League of Legends: Wild Rift,Tekken,Genshin Impact",Multiplayer,"Action/Adventure,Role-playing (RPG),Strategy,First-person shooter (FPS),Puzzle,Fighting,Competitive",None.
128,Bachelor of Science in Industrial Engineering,Daily,Mobile,Less than 5 hours,Mobile Legends: Bang Bang,Singleplayer,"Action/Adventure,Role-playing (RPG),Strategy,Sports,Puzzle",1 - 500 Php
129,Bachelor of Science in Industrial Engineering,Daily,PC,5-10 hours,"Valorant,League of Legends,Minecraft,Roblox,Mobile Legends: Bang Bang,Genshin Impact,Farlight 84",Multiplayer,"Action/Adventure,Role-playing (RPG),Strategy,First-person shooter (FPS),Fighting,Competitive",1000 - 5000 Php
130,Bachelor of Science in Industrial Engineering,4-6 times a week,Mobile,5-10 hours,"Mobile Legends: Bang Bang,Call of Duty",Singleplayer,"Action/Adventure,Strategy",1 - 500 Php
131,Bachelor of Science in Industrial Engineering,4-6 times a week,PC,10-20 hours,DOTA,Multiplayer,Strategy,None.
132,Bachelor of Science in Industrial Engineering,4-6 times a week,"PC,Mobile",10-20 hours,"Mobile Legends: Bang Bang,Tekken",Multiplayer,"Action/Adventure,Role-playing (RPG),Sports,Fighting",1 - 500 Php
133,Bachelor of Science in Industrial Engineering,4-6 times a week,"PC,Mobile",10-20 hours,"Mobile Legends: Bang Bang,Tekken",Multiplayer,"Action/Adventure,Role-playing (RPG),Strategy,Sports,Racing,Fighting",1 - 500 Php
134,Bachelor of Science in Industrial Engineering,4-6 times a week,"PC,Mobile",10-20 hours,"Mobile Legends: Bang Bang,Tekken",Multiplayer,"Action/Adventure,Role-playing (RPG),Strategy,Sports,Racing,Fighting",1 - 500 Php
135,Bachelor of Science in Industrial Engineering,4-6 times a week,"PC,Mobile",10-20 hours,"Mobile Legends: Bang Bang,Tekken",Multiplayer,"Action/Adventure,Role-playing (RPG),Strategy,Sports,Racing,Fighting",1 - 500 Php
136,Bachelor of Science in Industrial Engineering,Rarely or never,"PC,Mobile",Less than 5 hours,Mobile Legends: Bang Bang,Singleplayer,Action/Adventure,None.
137,Bachelor of Science in Industrial Engineering,2-3 times a week,PC,Less than 5 hours,Genshin Impact,Singleplayer,"Action/Adventure,Role-playing (RPG),Strategy,Racing,Fighting,Competitive",None.
138,Bachelor of Science in Industrial Engineering,Once a week,"PC,Mobile",5-10 hours,"Valorant,Mobile Legends: Bang Bang",Multiplayer,"Action/Adventure,Role-playing (RPG),Strategy,Sports,First-person shooter (FPS),Racing,Fighting,Competitive",None.
139,Bachelor of Science in Industrial Engineering,Rarely or never,Mobile,Less than 5 hours,Roblox,Singleplayer,First-person shooter (FPS),None.
140,Bachelor of Science in Industrial Engineering,2-3 times a week,Mobile,Less than 5 hours,Mobile Legends: Bang Bang,Multiplayer,"Action/Adventure,Strategy,Sports,First-person shooter (FPS),Puzzle,Fighting,Competitive",1 - 500 Php
141,Bachelor of Science in Industrial Engineering,Daily,"PC,Mobile",More than 20 hours,"Valorant,Mobile Legends: Bang Bang",Multiplayer,"Sports,Fighting",1 - 500 Php
142,Bachelor of Science in Industrial Engineering,2-3 times a week,"PC,Console,Mobile",5-10 hours,"Valorant,Fortnite,Mobile Legends: Bang Bang,Tekken",Multiplayer,"Role-playing (RPG),Strategy,Puzzle,Racing,Fighting,Competitive",500 - 1000 Php
143,Bachelor of Science in Industrial Engineering,Once a week,Mobile,Less than 5 hours,wordscapes,Singleplayer,Puzzle,None.
144,Bachelor of Science in Industrial Engineering,Daily,"PC,Mobile",Less than 5 hours,"League of Legends,Mobile Legends: Bang Bang,Console games",Multiplayer,"Action/Adventure,Role-playing (RPG)",500 - 1000 Php
145,Bachelor of Science in Industrial Engineering,Daily,Mobile,10-20 hours,"Valorant,League of Legends,Mobile Legends: Bang Bang,League of Legends: Wild Rift",Singleplayer,"Action/Adventure,Fighting",None.
146,Bachelor of Science in Industrial Engineering,4-6 times a week,Mobile,5-10 hours,"League of Legends,Mobile Legends: Bang Bang",Singleplayer,"Action/Adventure,Strategy,Puzzle,Racing,Fighting,Competitive",None.
147,Bachelor of Science in Industrial Engineering,Daily,"PC,Console,Mobile",10-20 hours,"Mobile Legends: Bang Bang,Tekken",Multiplayer,"Action/Adventure,Fighting,Competitive",1 - 500 Php
148,Bachelor of Science in Computer Science,4-6 times a week,Mobile,Less than 5 hours,Mobile Legends: Bang Bang,Singleplayer,"Strategy,Racing,Fighting",1 - 500 Php
149,Bachelor of Science in Architecture,2-3 times a week,"PC,Mobile",Less than 5 hours,"Valorant,Roblox,PUBG",Multiplayer,"Action/Adventure,Role-playing (RPG),Strategy,First-person shooter (FPS),Racing,Fighting,Competitive,Party Games",1 - 500 Php
150,Bachelor of Science in Industrial Engineering,Rarely or never,"PC,Console,Mobile",Less than 5 hours,"Mobile Legends: Bang Bang,Tekken,Call of Duty,DOTA",Singleplayer,"Action/Adventure,Role-playing (RPG),Open world",500 - 1000 Php
151,Bachelor of Science in Industrial Engineering,Daily,Mobile,Less than 5 hours,Call of Duty,Multiplayer,Fighting,None.
152,Bachelor of Science in Industrial Engineering,4-6 times a week,Mobile,5-10 hours,Mobile Legends: Bang Bang,Multiplayer,"Fighting,Competitive",1 - 500 Php
153,Bachelor in Multimedia Arts Major in Animation,Daily,"PC,Mobile",10-20 hours,"Fall Guys,Valheim,Project Zomboid,Don't Starve Together,Left 4 Dead",Multiplayer,"Action/Adventure,Role-playing (RPG),Puzzle,Fighting,Party Games,Survival",1 - 500 Php
154,Bachelor in Multimedia Arts Major in Animation,Rarely or never,"PC,Mobile",Less than 5 hours,"Honkai: Star Rail,Genshin Impact",Multiplayer,"Action/Adventure,Role-playing (RPG)",1 - 500 Php
155,Bachelor of Science in Industrial Engineering,Daily,Mobile,5-10 hours,"League of Legends,Mobile Legends: Bang Bang,Genshin Impact,Among Us",Singleplayer,"Action/Adventure,Role-playing (RPG),Strategy,Fighting",None.
156,Bachelor in Multimedia Arts,4-6 times a week,"PC,Mobile",Less than 5 hours,"Valorant,Minecraft,Roblox,Tekken,Genshin Impact,Among Us,Osu",Multiplayer,"Action/Adventure,Role-playing (RPG),First-person shooter (FPS)",1 - 500 Php
157,Bachelor in Multimedia Arts Major in Animation,Daily,PC,More than 20 hours,"Valorant,APEX Legends,Honkai: Star Rail,Genshin Impact,Assassin's Creed Series",Singleplayer,"Action/Adventure,Role-playing (RPG),First-person shooter (FPS)",1000 - 5000 Php
158,Bachelor of Science in Industrial Engineering,2-3 times a week,Mobile,Less than 5 hours,Tap tap crush,Singleplayer,"Strategy,Puzzle",None.
159,Bachelor of Science in Industrial Engineering,2-3 times a week,"PC,Mobile",Less than 5 hours,"League of Legends,Mobile Legends: Bang Bang",Multiplayer,Action/Adventure,None.
160,Bachelor of Science in Industrial Engineering,Daily,Mobile,Less than 5 hours,Mobile Legends: Bang Bang,Multiplayer,"Action/Adventure,Strategy,Sports,Competitive",1 - 500 Php
161,Media and Visual Arts,Daily,PC,10-20 hours,"Valorant,Minecraft,Fortnite,Roblox",Multiplayer,"Action/Adventure,Role-playing (RPG),First-person shooter (FPS),Competitive",1 - 500 Php
162,Bachelor of Science in Industrial Engineering,Daily,"PC,Mobile",Less than 5 hours,"Valorant,Farlight 84",Multiplayer,"Action/Adventure,Strategy,First-person shooter (FPS),Puzzle,Fighting",None.
163,Bachelor of Science in Industrial Engineering,Daily,"PC,Mobile",10-20 hours,"Valorant,League of Legends,Minecraft,Overwatch,APEX Legends,Mobile Legends: Bang Bang,League of Legends: Wild Rift,Tekken,Farlight 84",Multiplayer,"Action/Adventure,Role-playing (RPG),Strategy,Sports,First-person shooter (FPS),Racing,Fighting",1000 - 5000 Php
164,Bachelor of Science in Industrial Engineering,Daily,Mobile,5-10 hours,Mobile Legends: Bang Bang,Singleplayer,Strategy,None.
165,Bachelor of Science in Industrial Engineering,Rarely or never,Mobile,Less than 5 hours,Mobile Legends: Bang Bang,Multiplayer,Fighting,1 - 500 Php
166,Bachelor of Science in Industrial Engineering,Daily,Mobile,Less than 5 hours,"Minecraft,Mobile Legends: Bang Bang,Among Us",Multiplayer,"Sports,Racing,Fighting,Competitive,Party Games",None.
167,Bachelor in Multimedia Arts,Once a week,"PC,Mobile",5-10 hours,"Minecraft,Tekken,Jackbox,Among Us",Singleplayer,"Action/Adventure,Role-playing (RPG),Strategy,Puzzle,Fighting,Party Games",None.
168,Bachelor of Science in Computer Science,Daily,"PC,Mobile",5-10 hours,"Genshin Impact,Honkai Impact 3",Singleplayer,"Action/Adventure,Role-playing (RPG),First-person shooter (FPS),Racing,Party Games",500 - 1000 Php
169,Bachelor of Science in Industrial Engineering,4-6 times a week,Mobile,Less than 5 hours,"Roblox,Music Games",Singleplayer,"Puzzle,Party Games",None.
170,Bachelor of Science in Industrial Engineering,Once a week,Mobile,Less than 5 hours,Wordscapes,Singleplayer,Puzzle,None.
171,Bachelor of Science in Industrial Engineering,2-3 times a week,Console,5-10 hours,"Minecraft,Zelda",Multiplayer,"Action/Adventure,Puzzle",None.
172,Bachelor of Science in Industrial Engineering,Rarely or never,Mobile,Less than 5 hours,"Mobile Legends: Bang Bang,Among Us",Multiplayer,"Action/Adventure,Sports,Fighting",None.
173,Bachelor of Science in Industrial Engineering,Daily,"PC,Mobile",10-20 hours,"League of Legends,Honkai: Star Rail,Genshin Impact,Clash of Clans",Singleplayer,"Action/Adventure,Role-playing (RPG)",1 - 500 Php
174,Bachelor of Science in Entrepreneurship,Daily,"PC,Mobile",Less than 5 hours,"Valorant,Fall Guys,Farlight 84,GTAV ONLINE,SIMS,HOGWARTS LEGACY,MONSTER HUNTER WORLD,HORIZON ZERO DAWN",Singleplayer,"Action/Adventure,Strategy,First-person shooter (FPS),Fighting,Competitive,Party Games",500 - 1000 Php
175,Bachelor of Science in Industrial Engineering,Daily,Mobile,Less than 5 hours,"Mobile Legends: Bang Bang,Genshin Impact",Multiplayer,"Action/Adventure,Role-playing (RPG),Strategy,First-person shooter (FPS),Puzzle,Fighting,Competitive",500 - 1000 Php
176,Bachelor of Science in Computer Science,Daily,"PC,Mobile",10-20 hours,"Valorant,League of Legends,Genshin Impact",Multiplayer,"Action/Adventure,Role-playing (RPG),Strategy,Fighting,Competitive",None.
177,Bachelor of Science in Industrial Engineering,2-3 times a week,"PC,Mobile",5-10 hours,"Valorant,League of Legends,Minecraft,Roblox,League of Legends: Wild Rift,Tekken,Genshin Impact,NBA",Singleplayer,"Action/Adventure,Role-playing (RPG),Sports,First-person shooter (FPS),Competitive",1 - 500 Php
178,Bachelor of Science in Industrial Engineering ,2-3 times a week,"PC,Mobile",Less than 5 hours,"League of Legends,Minecraft,Mobile Legends: Bang Bang,League of Legends: Wild Rift",Multiplayer,"Action/Adventure,Role-playing (RPG),Strategy",1 - 500 Php
179,Bachelor of Science in Industrial Engineering,Rarely or never,Mobile,Less than 5 hours,temple run,Singleplayer,Sports,1 - 500 Php
180,Bachelor of Science in Industrial Engineering,Once a week,Mobile,Less than 5 hours,Mobile Legends: Bang Bang,Singleplayer,"Action/Adventure,Puzzle",None.
181,Bachelor of Science in Industrial Engineering,Daily,"PC,Mobile",More than 20 hours,"Valorant,Minecraft,Roblox,Mobile Legends: Bang Bang,Genshin Impact",Multiplayer,"Action/Adventure,Role-playing (RPG),Strategy,First-person shooter (FPS),Puzzle,Competitive",1 - 500 Php
182,Bachelor of Science in Industrial Engineering,Rarely or never,"PC,Mobile",Less than 5 hours,"Mobile Legends: Bang Bang,League of Legends: Wild Rift,Call of Duty: Mobile",Multiplayer,"Action/Adventure,Sports,Puzzle,Fighting,Competitive,Party Games",1 - 500 Php
183,Bachelor of Science in Industrial Engineering,Daily,Mobile,5-10 hours,"Mobile Legends: Bang Bang,Genshin Impact",Singleplayer,"Role-playing (RPG),Puzzle,Fighting",None.
184,Bachelor of Science in Industrial Engineering,2-3 times a week,Mobile,Less than 5 hours,"Candy Crush,Chess",Multiplayer,"Strategy,Puzzle",1 - 500 Php
185,Working,Daily,Mobile,Less than 5 hours,Mobile Legends: Bang Bang,Multiplayer,"Action/Adventure,Strategy,Fighting,Competitive",1 - 500 Php
186,Bachelor of Science in Industrial Engineering,Daily,Mobile,5-10 hours,"League of Legends,Mobile Legends: Bang Bang,League of Legends: Wild Rift,Ragnarok",Multiplayer,"Role-playing (RPG),MOBA",None.
187,Bachelor of Science in Industrial Engineering,Rarely or never,None,Less than 5 hours,None,Singleplayer,Puzzle,None.
188,Media and Visual Arts,Daily,Mobile,5-10 hours,Mobile Legends: Bang Bang,Multiplayer,"Action/Adventure,Strategy,Sports,Fighting,Competitive,Party Games",5000+ Php
189,Bachelor of Science in Industrial Engineering,2-3 times a week,Mobile,Less than 5 hours,Mobile Legends: Bang Bang,Singleplayer,"Role-playing (RPG),Strategy,Fighting,Competitive",None.
190,Bachelor of Science in Industrial Engineering,Daily,"PC,Mobile",5-10 hours,"League of Legends,Mobile Legends: Bang Bang,Tekken",Multiplayer,"Action/Adventure,Role-playing (RPG),Strategy,First-person shooter (FPS),Fighting,Competitive",1 - 500 Php
191,Bachelor of Science in Industrial Engineering,2-3 times a week,Mobile,Less than 5 hours,Mobile Legends: Bang Bang,Multiplayer,"Action/Adventure,Role-playing (RPG),Strategy",None.
192,Bachelor of Science in Nursing,Daily,"PC,Mobile",Less than 5 hours,"Minecraft,Among Us,Haunted Dorm,Snake.io",Singleplayer,"Strategy,Puzzle,Racing",None.
193,Bachelor of Science in Industrial Engineering,4-6 times a week,"PC,Mobile",Less than 5 hours,"League of Legends,APEX Legends,Mobile Legends: Bang Bang,Among Us,Call of Duty: Mobile",Multiplayer,"Strategy,First-person shooter (FPS),Competitive,Battle Royale",1 - 500 Php
194,Bachelor of Science in Industrial Engineering,Rarely or never,Mobile,Less than 5 hours,Puzzle,Singleplayer,Strategy,None.
195,Bachelor of Science in Industrial Engineering,Daily,"PC,Mobile",5-10 hours,"Valorant,Mobile Legends: Bang Bang,League of Legends: Wild Rift,Genshin Impact,Among Us,Fall Guys",Singleplayer,"Action/Adventure,Role-playing (RPG),Strategy,Racing,Fighting,Competitive,Party Games",500 - 1000 Php
196,Bachelor of Science in Industrial Engineering,Rarely or never,Mobile,Less than 5 hours,"Mobile Legends: Bang Bang,",Multiplayer,Strategy,None.
197,Bachelor of Science in Industrial Engineering,Once a week,Mobile,Less than 5 hours,"Roblox,Among Us",Singleplayer,"Action/Adventure,Puzzle",None.
198,Accountancy Business and Management,Daily,Mobile,Less than 5 hours,"Minecraft,Mobile Legends: Bang Bang,League of Legends: Wild Rift,Tekken,Genshin Impact",Multiplayer,"Action/Adventure,Role-playing (RPG),Racing",1 - 500 Php
199,Bachelor of Science in Industrial Engineering,2-3 times a week,Mobile,Less than 5 hours,Free Fire,Multiplayer,"Action/Adventure,Role-playing (RPG),Strategy",None.
200,Bachelor of Science in Industrial Engineering,2-3 times a week,Mobile,Less than 5 hours,Mobile Legends: Bang Bang,Multiplayer,Action/Adventure,1 - 500 Php
201,Bachelor of Science in Industrial Engineering,Daily,"PC,Mobile",5-10 hours,"Valorant,League of Legends,League of Legends: Wild Rift",Multiplayer,"Action/Adventure,Role-playing (RPG),Strategy,First-person shooter (FPS),Fighting,Competitive,Party Games",None.
202,Bachelor of Science in Industrial Engineering,Daily,Mobile,10-20 hours,Mobile Legends: Bang Bang,Singleplayer,"Role-playing (RPG),Competitive",5000+ Php
203,Bachelor of Science in Entertainment and Multimedia Computing,Daily,"PC,Mobile",10-20 hours,"Minecraft,Honkai: Star Rail,Genshin Impact,Fall Guys,Arknights,Aether Gazer,Punishing: Gray Raven,Muse Dash",Singleplayer,"Action/Adventure,Role-playing (RPG),Strategy,Puzzle",None.
204,Bachelor of Science in Industrial Engineering,4-6 times a week,"PC,Mobile",Less than 5 hours,"League of Legends,League of Legends: Wildrift ",Multiplayer,"Action/Adventure,Role-playing (RPG),First-person shooter (FPS),Fighting,Competitive",500 - 1000 Php
205,Bachelor of Science in Computer Science,Rarely or never,PC,Less than 5 hours,"Minecraft,Mobile Legends: Bang Bang,Watch Dogs",Singleplayer,"Action/Adventure,Fighting,open world",500 - 1000 Php
206,Bachelor of Science in Industrial Engineering,Daily,Mobile,Less than 5 hours,8 Ball Pool,Multiplayer,"Action/Adventure,Sports,First-person shooter (FPS),Puzzle,Fighting,Competitive",None.
207,Bachelor of Science in Industrial Engineering,Daily,Mobile,5-10 hours,Mobile Legends: Bang Bang,Singleplayer,"Sports,Puzzle",500 - 1000 Php
208,Bachelor of Science in Industrial Engineering,Once a week,Mobile,Less than 5 hours,Mobile Legends: Bang Bang,Singleplayer,"Action/Adventure,Sports,First-person shooter (FPS),Fighting",1 - 500 Php
209,Bachelor of Science in Entertainment and Multimedia Computing,Daily,"PC,Mobile",10-20 hours,"League of Legends,Minecraft,Mobile Legends: Bang Bang,Honkai: Star Rail",Multiplayer,"Action/Adventure,Role-playing (RPG),Strategy,Party Games",500 - 1000 Php
210,Bachelor of Science in Industrial Engineering,Once a week,"PC,Mobile,Arcade",Less than 5 hours,"Mobile Legends: Bang Bang,",Multiplayer,"Role-playing (RPG),Strategy,Racing,Wangan",500 - 1000 Php
211,Bachelor of Science in Industrial Engineering,4-6 times a week,Mobile,Less than 5 hours,Mobile Legends: Bang Bang,Multiplayer,Competitive,None.
212,Bachelor of Science in Industrial Engineering,4-6 times a week,"PC,Console,Mobile",More than 20 hours,"Valorant,League of Legends,Minecraft,Overwatch,APEX Legends,Smash Bros: Ultimate,League of Legends: Wild Rift,Tekken,Honkai: Star Rail,Genshin Impact,Among Us,Fall Guys",Singleplayer,"Action/Adventure,Role-playing (RPG),Strategy,Sports,First-person shooter (FPS),Racing,Fighting,Competitive",1 - 500 Php
213,Bachelor of Science in Industrial Engineering,Daily,Mobile,10-20 hours,Mobile Legends: Bang Bang,Singleplayer,"Strategy,Fighting,Competitive",None.
214,Bachelor of Science in Industrial Engineering,2-3 times a week,"PC,Console,Mobile",5-10 hours,"Mobile Legends: Bang Bang,Tekken,Genshin Impact,",Multiplayer,"Action/Adventure,Strategy,First-person shooter (FPS),Racing,Fighting",None.
215,Bachelor of Science in Industrial Engineering,Daily,Mobile,5-10 hours,League of Legends,Singleplayer,First-person shooter (FPS),1 - 500 Php
216,Bachelor of Science in Industrial Engineering,Once a week,Mobile,Less than 5 hours,Mobile Legends: Bang Bang,Multiplayer,"Action/Adventure,Strategy,First-person shooter (FPS),Puzzle,Racing,Fighting",None.
217,Bachelor of Science in Industrial Engineering,4-6 times a week,Mobile,Less than 5 hours,Mobile Legends: Bang Bang,Multiplayer,"Action/Adventure,Puzzle,Party Games",None.
218,Bachelor of Science in Industrial Engineering,2-3 times a week,Mobile,Less than 5 hours,Call of Duty,Multiplayer,"Action/Adventure,Strategy,First-person shooter (FPS)",1 - 500 Php
219,Bachelor of Science in Industrial Engineering,Daily,"PC,Mobile",Less than 5 hours,"Valorant,Minecraft,Mobile Legends: Bang Bang,Fall Guys",Singleplayer,"Action/Adventure,Strategy,Sports,First-person shooter (FPS),Racing,Fighting,Competitive",500 - 1000 Php
220,Bachelor of Science in Industrial Engineering,2-3 times a week,Mobile,Less than 5 hours,Call of Duty,Multiplayer,"Action/Adventure,First-person shooter (FPS)",None.
221,Bachelor of Science in Industrial Engineering,2-3 times a week,"PC,Mobile",5-10 hours,"Valorant,League of Legends,Mobile Legends: Bang Bang",Multiplayer,"Action/Adventure,Sports,First-person shooter (FPS),Fighting",None.
222,Bachelor of Science in Industrial Engineering,Daily,Mobile,5-10 hours,"Mobile Legends: Bang Bang,Puzzle games ",Multiplayer,"Action/Adventure,Strategy,Puzzle",500 - 1000 Php
223,Bachelor in Multimedia Arts,2-3 times a week,"PC,Console",5-10 hours,"Tekken,Fallout,Ace Attorney,Danganronpa",Singleplayer,"Action/Adventure,Role-playing (RPG),Detective games",500 - 1000 Php
224,Bachelor of Science in Entertainment and Multimedia Computing,Daily,"PC,Mobile",5-10 hours,"Genshin Impact,World of Warships",Multiplayer,"Strategy,Competitive",None.
225,Bachelor of Science in Industrial Engineering,Rarely or never,Mobile,Less than 5 hours,Mobile Legends: Bang Bang,Multiplayer,"Action/Adventure,Strategy,Puzzle,Fighting,Competitive",None.
226,Bachelor of Science in Industrial Engineering,4-6 times a week,"PC,Mobile",Less than 5 hours,"Minecraft,League of Legends: Wild Rift",Singleplayer,"Action/Adventure,Strategy",None.
227,Bachelor of Science in Industrial Engineering,Daily,Mobile,Less than 5 hours,Mobile Legends: Bang Bang,Multiplayer,"Action/Adventure,Role-playing (RPG),Strategy,Racing,Fighting,Competitive",1 - 500 Php
228,Bachelor of Science in Industrial Engineering,Once a week,Mobile,Less than 5 hours,"Roblox,Among Us",Multiplayer,"Action/Adventure,Strategy,Puzzle,Fighting",None.
229,Accountancy Business and Management,2-3 times a week,"PC,Mobile",Less than 5 hours,Among Us,Multiplayer,"Action/Adventure,Role-playing (RPG),Strategy",None.
230,Bachelor of Science in Industrial Engineering,2-3 times a week,Mobile,Less than 5 hours,Call of Duty,Multiplayer,Fighting,None.
231,Bachelor of Science in Computer Science,Daily,PC,More than 20 hours,"Valorant,League of Legends,Minecraft,APEX Legends,Genshin Impact",Singleplayer,"Role-playing (RPG),First-person shooter (FPS),Puzzle,Competitive",None.
232,Bachelor of Science in Computer Engineering,Daily,"PC,Mobile",More than 20 hours,"Valorant,League of Legends,League of Legends: Wild Rift,Prosekai,Ensemble Stars",Multiplayer,"Action/Adventure,Role-playing (RPG),First-person shooter (FPS),Competitive,Rhythm ",None.
233,Programming,4-6 times a week,Mobile,5-10 hours,"Honkai: Star Rail,Genshin Impact",Singleplayer,Role-playing (RPG),1 - 500 Php
234,Programming,2-3 times a week,"PC,Mobile",More than 20 hours,"Valorant,League of Legends,Overwatch,APEX Legends,Mobile Legends: Bang Bang,League of Legends: Wild Rift,Genshin Impact,Fall Guys",Multiplayer,"Action/Adventure,Role-playing (RPG),Strategy,First-person shooter (FPS),Fighting,Competitive",1 - 500 Php
235,Bachelor of Science in Computer Engineering,Daily,PC,Less than 5 hours,League of Legends,Multiplayer,"Action/Adventure,Role-playing (RPG),Strategy,Sports,First-person shooter (FPS),Puzzle,Racing,Fighting,Competitive,Party Games,MOBA ",1 - 500 Php
236,Bachelor of Science in Computer Engineering,Daily,PC,5-10 hours,"Valorant,League of Legends,Minecraft,APEX Legends,Roblox",Multiplayer,"Role-playing (RPG),First-person shooter (FPS),Competitive",None.
237,Accountancy Business and Management,4-6 times a week,Mobile,Less than 5 hours,"Mobile Legends: Bang Bang,League of Legends: Wild Rift,Genshin Impact",Multiplayer,"Action/Adventure,Role-playing (RPG),Competitive",1 - 500 Php
238,Bachelor in Multimedia Arts,Daily,"PC,Mobile",10-20 hours,"Valorant,League of Legends,Honkai: Star Rail,Genshin Impact,Among Us",Singleplayer,"Action/Adventure,Role-playing (RPG),First-person shooter (FPS),Competitive",None.
239,Bachelor of Science in Entertainment and Multimedia Computing,Daily,"PC,Console,Mobile",10-20 hours,"Valorant,Minecraft,APEX Legends,Tekken,Honkai: Star Rail,Genshin Impact,Among Us",Multiplayer,"Action/Adventure,Role-playing (RPG),Strategy,First-person shooter (FPS),Fighting,Competitive,Party Games",500 - 1000 Php
240,Bachelor of Science in Computer Science,4-6 times a week,PC,5-10 hours,"Minecraft,Roblox",Singleplayer,"Strategy,Sandbox",None.
241,Bachelor in Multimedia Arts Major in Animation,4-6 times a week,"PC,Mobile",5-10 hours,"Valorant,League of Legends,Mobile Legends: Bang Bang,League of Legends: Wild Rift,Genshin Impact",Multiplayer,"Action/Adventure,Role-playing (RPG),First-person shooter (FPS),Competitive,MOBA",500 - 1000 Php
242,Bachelor in Multimedia Arts,4-6 times a week,Mobile,5-10 hours,"Minecraft,Among Us,Call of Duty: Mobile",Singleplayer,"Action/Adventure,Role-playing (RPG),Strategy,First-person shooter (FPS),Puzzle,Sandbox",None.
243,Bachelor of Science in Computer Science,Daily,Console,Less than 5 hours,"Minecraft,Overwatch,Tekken,Genshin Impact",Singleplayer,"Action/Adventure,Role-playing (RPG),First-person shooter (FPS)",1 - 500 Php
244,Bachelor in Multimedia Arts,Daily,PC,Less than 5 hours,"Valorant,APEX Legends,Fortnite,Roblox",Multiplayer,First-person shooter (FPS),None.
245,Bachelor of Science in Entertainment and Multimedia Computing,4-6 times a week,PC,5-10 hours,"Minecraft,Fortnite,Roblox",Multiplayer,Action/Adventure,500 - 1000 Php
246,Media and Visual Arts,4-6 times a week,"PC,Console,Mobile",Less than 5 hours,"Valorant,Overwatch,APEX Legends,Smash Bros: Ultimate,Mobile Legends: Bang Bang,Honkai: Star Rail,Genshin Impact",Multiplayer,"Action/Adventure,Role-playing (RPG),Strategy,First-person shooter (FPS),Puzzle,Fighting",None.
247,Bachelor in Multimedia Arts Major in Animation,Daily,"PC,Console",5-10 hours,"Valorant,League of Legends,Honkai: Star Rail,Genshin Impact",Singleplayer,"Action/Adventure,Role-playing (RPG),Strategy,First-person shooter (FPS),Puzzle",1000 - 5000 Php
248,Bachelor of Science in Computer Science,Daily,PC,More than 20 hours,World of Warcraft,Multiplayer,"Action/Adventure,Role-playing (RPG),Strategy,First-person shooter (FPS),Puzzle,Racing,Fighting,Competitive,Party Games",500 - 1000 Php
249,Bachelor in Multimedia Arts,2-3 times a week,"PC,Mobile",10-20 hours,"Minecraft,Overwatch,Roblox,Honkai: Star Rail",Singleplayer,"Action/Adventure,Role-playing (RPG),Strategy,First-person shooter (FPS)",None.
250,Bachelor of Science in Computer Science,Daily,"PC,Console,Mobile,Virtual Reality (VR)",10-20 hours,"Minecraft,Overwatch,Smash Bros: Ultimate,Roblox,Tekken,Genshin Impact,Among Us",Singleplayer,"Action/Adventure,Role-playing (RPG),Strategy,First-person shooter (FPS),Racing,Fighting,Party Games",1 - 500 Php
251,Bachelor of Science in Industrial Engineering,Rarely or never,"PC,Mobile",Less than 5 hours,"Valorant,Escape rooms",Singleplayer,"Action/Adventure,Strategy,Detective ",1 - 500 Php
252,Bachelor of Science in Industrial Engineering,Daily,Mobile,5-10 hours,"League of Legends: Wild Rift,Farlight 84,Hyperdimension,Tap Force",Singleplayer,"Action/Adventure,Strategy,Fighting",1 - 500 Php
253,Bachelor of Science in Entertainment and Multimedia Computing,Rarely or never,"PC,Console,Mobile",5-10 hours,"Tekken,",Singleplayer,"Action/Adventure,Role-playing (RPG),Sports,Puzzle,Fighting",None.
